rating,review_summary,review_description,product_name,Price,product_id,compound,compound_sentiment,rating_sentiment,Polarity,TextBlob_Sentiment
5,Perfect product!,The brand is very trustworthy and i got genuine pice at a very low cost.I ordered the green one and trust me the colour was amazing.All the colours but specifically green and purple are nice for look.Thanks to flipkart❤️,iPhone 12,30999,MGJ83HN/A,0.765,positive,positive,0.13333333333333333,positive
5,Terrific,"Wow superb camera phone.Very smooth speed and no lag , iphone is the king always.Its a beautiful product",iPhone 12,30999,MGJ83HN/A,0.8481,positive,positive,0.5875,positive
5,Classy product,Awesome,iPhone 12,30999,MGJ83HN/A,0.6249,positive,positive,1.0,positive
5,Terrific purchase,Awesome phone … value for money.. Happy with battery life.. Awesome camera features… look at the images snapped using the phone… easy to use.. Just feared about getting scratch at back glass… but using cover helped it…,iPhone 12,30999,MGJ83HN/A,0.7906,positive,positive,0.6466666666666667,positive
5,Simply awesome,Awesome Camera,iPhone 12,30999,MGJ83HN/A,0.6249,positive,positive,1.0,positive
5,Must buy!,Camera quality is just fabulous. Interface is very smooth. Good for photography and videography.,iPhone 12,30999,MGJ83HN/A,0.7635,positive,positive,0.54,positive
5,Must buy!,Best iPhone till date 💕,iPhone 12,30999,MGJ83HN/A,0.6369,positive,positive,1.0,positive
5,Simply awesome,Amazing phone.In love with this phone,iPhone 12,30999,MGJ83HN/A,0.8402,positive,positive,0.55,positive
5,Worth every penny,Super,iPhone 12,30999,MGJ83HN/A,0.5994,positive,positive,0.3333333333333333,positive
5,Super!,Upgraded from iPhone 7 plus after using for more then 3yrs. Excellent built & box design looks great. Night mode clicks look fabulous.,iPhone 12,30999,MGJ83HN/A,0.9093,positive,positive,0.6749999999999999,positive
5,Wonderful,Performance is soooo fast.Especially faceid detection is awesome even in dark.No need to carry an dslr .this is more than enough attaching puc taken by this,iPhone 12,30999,MGJ83HN/A,0.6249,positive,positive,0.5,positive
5,Must buy!,Go for it,iPhone 12,30999,MGJ83HN/A,0.0,neutral,positive,0.0,neutral
5,Awesome,Nice camera 📸,iPhone 12,30999,MGJ83HN/A,0.4215,positive,positive,0.6,positive
5,Perfect product!,Excellent,iPhone 12,30999,MGJ83HN/A,0.5719,positive,positive,1.0,positive
5,Classy product,This is the value for money phone...For Flipkart:.On time delievery.Always best service.Feedback call received after 5 days..Apple:.One word: Superb.Picture Quality Ultimate,iPhone 12,30999,MGJ83HN/A,0.765,positive,positive,0.5,positive
5,Terrific,Awesome camera performance and improvement in battery capacity,iPhone 12,30999,MGJ83HN/A,0.7964,positive,positive,1.0,positive
5,Awesome,Classic,iPhone 12,30999,MGJ83HN/A,0.0,neutral,positive,0.16666666666666666,positive
5,Terrific,I am very happy with I phone 12.Very Nice Product Thanku Flipkart,iPhone 12,30999,MGJ83HN/A,0.7778,positive,positive,0.8,positive
5,Awesome,"Excellent product worth for every penny, writing this review after using 7 days, earlier was using iPhone 6Plus now on iPhone 12 😍, faster then anything this else..Excellent Picture quality..Just loved it.!!",iPhone 12,30999,MGJ83HN/A,0.8774,positive,positive,0.575,positive
4,Very Good,"display is good , processor is awesome",iPhone 12,30999,MGJ83HN/A,0.7906,positive,positive,0.85,positive
5,Must buy!,"Top class performance and battery backup too. Charges quickly if u are using a 20w charger. Night mode is good , HDR mode works flawlessly. VFM phone.",iPhone 12,30999,MGJ83HN/A,0.5267,positive,positive,0.6333333333333333,positive
4,Good quality product,"Everything is great except the battery life, camera is awesome",iPhone 12,30999,MGJ83HN/A,0.8481,positive,positive,0.9,positive
5,Just wow!,This z my frst iphone n … outstanding phone …must buy.😍😍😍😍😍,iPhone 12,30999,MGJ83HN/A,0.6124,positive,positive,0.5,positive
5,Mind-blowing purchase,"Guys ,this is just Beast at Every Aspect of Configurations, Full Pack with What You want, Like Best Camera , Best Display, Best Battery for whole Day Use, And Everyone know About Processing Speed👌..",iPhone 12,30999,MGJ83HN/A,0.9468,positive,positive,0.7100000000000001,positive
5,Super!,Nice phone with good build quality.Excellent Camera,iPhone 12,30999,MGJ83HN/A,0.6908,positive,positive,0.6499999999999999,positive
5,Worth every penny,Just go for it.I purchased 128 gb purple colour.The phone is beast,iPhone 12,30999,MGJ83HN/A,0.0,neutral,positive,0.0,neutral
